year,Field,Number
2010,Medicine,43
2010,Materials Science,35
2010,Biology,55
2010,Computer Science,106
2010,Agriculture,30
2010,Chemistry,107
2010,Environmental science,17
2010,Mathematics,77
2010,Psychology,11
2010,Other,60
2011,Medicine,56
2011,Materials Science,51
2011,Biology,49
2011,Computer Science,125
2011,Agriculture,40
2011,Chemistry,91
2011,Environmental science,16
2011,Mathematics,116
2011,Psychology,18
2011,Other,82
2012,Medicine,98
2012,Materials Science,72
2012,Biology,71
2012,Computer Science,161
2012,Agriculture,48
2012,Chemistry,106
2012,Environmental science,19
2012,Mathematics,99
2012,Psychology,22
2012,Other,107
2013,Medicine,136
2013,Materials Science,99
2013,Biology,88
2013,Computer Science,205
2013,Agriculture,49
2013,Chemistry,112
2013,Environmental science,35
2013,Mathematics,146
2013,Psychology,29
2013,Other,111
2014,Medicine,136
2014,Materials Science,88
2014,Biology,114
2014,Computer Science,189
2014,Agriculture,92
2014,Chemistry,155
2014,Environmental science,32
2014,Mathematics,130
2014,Psychology,43
2014,Other,83
2015,Medicine,143
2015,Materials Science,84
2015,Biology,93
2015,Computer Science,169
2015,Agriculture,78
2015,Chemistry,168
2015,Environmental science,25
2015,Mathematics,120
2015,Psychology,68
2015,Other,71
2016,Medicine,139
2016,Materials Science,66
2016,Biology,104
2016,Computer Science,173
2016,Agriculture,73
2016,Chemistry,174
2016,Environmental science,42
2016,Mathematics,110
2016,Psychology,80
2016,Other,84
2017,Medicine,210
2017,Materials Science,76
2017,Biology,114
2017,Computer Science,228
2017,Agriculture,78
2017,Chemistry,221
2017,Environmental science,43
2017,Mathematics,97
2017,Psychology,78
2017,Other,75
2018,Medicine,161
2018,Materials Science,109
2018,Biology,87
2018,Computer Science,201
2018,Agriculture,70
2018,Chemistry,187
2018,Environmental science,53
2018,Mathematics,114
2018,Psychology,81
2018,Other,90
2019,Medicine,251
2019,Materials Science,108
2019,Biology,112
2019,Computer Science,254
2019,Agriculture,101
2019,Chemistry,229
2019,Environmental science,81
2019,Mathematics,118
2019,Psychology,92
2019,Other,93
